NUM;FECHA_CORTE;PERIODO;EMPRESA;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO_DISTRITO;TECNOLOGÍA;SEGMENTO;RANGO_VELOC_BAJADA;VELOC_INFERIOR_KBPS;VELOC_SUPERIOR_EXCLUYENTE_KBPS;CANT_CONEXIONES
27;20240617;202306;AMERICA MOVIL PERU S.A.C.;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;10701;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;7
28;20240617;202306;AMERICA MOVIL PERU S.A.C.;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;10701;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;105
29;20240617;202306;AMERICA MOVIL PERU S.A.C.;AMAZONAS;UTCUBAMBA;CAJARURO;10702;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;1
30;20240617;202306;AMERICA MOVIL PERU S.A.C.;AMAZONAS;UTCUBAMBA;EL MILAGRO;10704;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;2
31;20240617;202306;AMERICA MOVIL PERU S.A.C.;AMAZONAS;UTCUBAMBA;LONYA GRANDE;10706;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;2
32;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;AIJA;AIJA;20201;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;9
33;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;ANTONIO RAYMONDI;ACZO;20302;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;1
34;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;20301;Otras Tecnologías;Residencial;4 Mbps <= BW < 8 Mbps;4096;8192;1
35;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;20301;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;5
36;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;20301;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;1
37;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;ASUNCION;CHACAS;20401;Otras Tecnologías;Comercial;16 Mbps <= BW < 30 Mbps;16384;30720;2
38;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;ASUNCION;CHACAS;20401;Otras Tecnologías;Residencial;2048 <=  BW < 4096 kbps;2048;4096;1
39;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;BOLOGNESI;CHIQUIAN;20501;Otras Tecnologías;Residencial;4 Mbps <= BW < 8 Mbps;4096;8192;7
40;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;BOLOGNESI;CHIQUIAN;20501;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;27
41;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;BOLOGNESI;CHIQUIAN;20501;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;1
42;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;BOLOGNESI;COLQUIOC;20507;Otras Tecnologías;Residencial;2048 <=  BW < 4096 kbps;2048;4096;1
43;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;BOLOGNESI;HUASTA;20509;Otras Tecnologías;Residencial;4 Mbps <= BW < 8 Mbps;4096;8192;1
44;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CARHUAZ;ACOPAMPA;20602;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;1
45;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CARHUAZ;ANTA;20604;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;1
46;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CARHUAZ;CARHUAZ;20601;Otras Tecnologías;Comercial;16 Mbps <= BW < 30 Mbps;16384;30720;4
47;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CARHUAZ;CARHUAZ;20601;Otras Tecnologías;Residencial;2048 <=  BW < 4096 kbps;2048;4096;2
48;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CARHUAZ;CARHUAZ;20601;Otras Tecnologías;Residencial;4 Mbps <= BW < 8 Mbps;4096;8192;4
49;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CARHUAZ;CARHUAZ;20601;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;7
50;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CARHUAZ;CARHUAZ;20601;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;49
51;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;CARHUAZ;YUNGAR;20611;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;13
